country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,latitude,longitude
canada,nova scotia,10-04-2023,02-04-2023,3,60,600,ufc tonight,sports,45.58327578,-62.63331934
canada,newfoundland and labrador,10-04-2023,02-04-2023,19,31,50,blue jays,sports,49.17440025,-57.42691878
canada,alberta,10-04-2023,02-04-2023,14,13,130,blue jays score,sports,53.01669802,-112.8166386
canada,ontario,10-04-2023,02-04-2023,14,17,130,blue jays score,sports,44.56664532,-80.84998519
canada,alberta,10-04-2023,02-04-2023,1,21,800,blue jays vs angels,sports,53.01669802,-112.8166386
canada,alberta,10-04-2023,02-04-2023,2,7,600,delonte west,people,53.01669802,-112.8166386
canada,manitoba,10-04-2023,02-04-2023,18,34,70,edmonton oilers,sports,50.15002545,-96.88332178
canada,ontario,10-04-2023,02-04-2023,18,23,70,edmonton oilers,sports,44.56664532,-80.84998519
canada,new brunswick,10-04-2023,02-04-2023,11,29,160,lakers,sports,45.26704185,-66.07667505
canada,nova scotia,10-04-2023,02-04-2023,11,19,160,lakers,sports,45.58327578,-62.63331934
canada,ontario,10-04-2023,02-04-2023,11,22,160,lakers,sports,44.56664532,-80.84998519
canada,british columbia,10-04-2023,02-04-2023,7,11,250,lotto max,entertainment,49.09996035,-116.516697
canada,new brunswick,10-04-2023,02-04-2023,7,7,250,lotto max,entertainment,45.26704185,-66.07667505
canada,alberta,10-04-2023,02-04-2023,4,28,250,lotto max winning numbers,entertainment,53.01669802,-112.8166386
canada,new brunswick,10-04-2023,02-04-2023,4,7,250,lotto max winning numbers,entertainment,45.26704185,-66.07667505
canada,new brunswick,10-04-2023,02-04-2023,21,27,40,mlb scores,sports,45.26704185,-66.07667505
canada,alberta,10-04-2023,02-04-2023,20,100,50,nba standings,sports,53.01669802,-112.8166386
canada,british columbia,10-04-2023,02-04-2023,17,31,110,oilers,sports,49.09996035,-116.516697
canada,newfoundland and labrador,10-04-2023,02-04-2023,17,15,110,oilers,sports,49.17440025,-57.42691878
canada,nova scotia,10-04-2023,02-04-2023,17,32,110,oilers,sports,45.58327578,-62.63331934
canada,northwest territories,10-04-2023,02-04-2023,17,29,110,oilers,sports,62.40005292,-110.7333291
canada,saskatchewan,10-04-2023,02-04-2023,12,12,150,oilers game,sports,50.93331097,-102.7999891
canada,new brunswick,10-04-2023,02-04-2023,5,39,250,premier league,sports,45.26704185,-66.07667505
canada,new brunswick,10-04-2023,02-04-2023,8,25,250,psg,sports,45.26704185,-66.07667505
canada,nova scotia,10-04-2023,02-04-2023,8,21,250,psg,sports,45.58327578,-62.63331934
