country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,Country,latitude,longitude
canada,nova scotia,2023-04-10,2023-04-02,15,21,130,ufc,sports,Canada,45.58327578,-62.63331934
canada,ontario,2023-04-10,2023-04-02,15,16,130,ufc,sports,Canada,44.56664532,-80.84998519
canada,prince edward island,2023-04-10,2023-04-02,15,21,130,ufc,sports,Canada,46.24928164,-63.13132512
canada,british columbia,2023-04-10,2023-04-02,10,100,180,ufc 287,sports,Canada,49.09996035,-116.516697
canada,manitoba,2023-04-10,2023-04-02,10,22,180,ufc 287,sports,Canada,50.15002545,-96.88332178
canada,nova scotia,2023-04-10,2023-04-02,3,60,600,ufc tonight,sports,Canada,45.58327578,-62.63331934
canada,newfoundland and labrador,2023-04-10,2023-04-02,19,31,50,blue jays,sports,Canada,49.17440025,-57.42691878
canada,alberta,2023-04-10,2023-04-02,14,13,130,blue jays score,sports,Canada,53.01669802,-112.8166386
canada,ontario,2023-04-10,2023-04-02,14,17,130,blue jays score,sports,Canada,44.56664532,-80.84998519
canada,alberta,2023-04-10,2023-04-02,1,21,800,blue jays vs angels,sports,Canada,53.01669802,-112.8166386
canada,alberta,2023-04-10,2023-04-02,2,7,600,delonte west,people,Canada,53.01669802,-112.8166386
canada,manitoba,2023-04-10,2023-04-02,18,34,70,edmonton oilers,sports,Canada,50.15002545,-96.88332178
canada,ontario,2023-04-10,2023-04-02,18,23,70,edmonton oilers,sports,Canada,44.56664532,-80.84998519
canada,new brunswick,2023-04-10,2023-04-02,11,29,160,lakers,sports,Canada,45.26704185,-66.07667505
canada,nova scotia,2023-04-10,2023-04-02,11,19,160,lakers,sports,Canada,45.58327578,-62.63331934
canada,ontario,2023-04-10,2023-04-02,11,22,160,lakers,sports,Canada,44.56664532,-80.84998519
canada,british columbia,2023-04-10,2023-04-02,7,11,250,lotto max,entertainment,Canada,49.09996035,-116.516697
canada,new brunswick,2023-04-10,2023-04-02,7,7,250,lotto max,entertainment,Canada,45.26704185,-66.07667505
canada,alberta,2023-04-10,2023-04-02,4,28,250,lotto max winning numbers,entertainment,Canada,53.01669802,-112.8166386
canada,new brunswick,2023-04-10,2023-04-02,4,7,250,lotto max winning numbers,entertainment,Canada,45.26704185,-66.07667505
canada,new brunswick,2023-04-10,2023-04-02,21,27,40,mlb scores,sports,Canada,45.26704185,-66.07667505
canada,alberta,2023-04-10,2023-04-02,20,100,50,nba standings,sports,Canada,53.01669802,-112.8166386
canada,british columbia,2023-04-10,2023-04-02,17,31,110,oilers,sports,Canada,49.09996035,-116.516697
canada,newfoundland and labrador,2023-04-10,2023-04-02,17,15,110,oilers,sports,Canada,49.17440025,-57.42691878
canada,nova scotia,2023-04-10,2023-04-02,17,32,110,oilers,sports,Canada,45.58327578,-62.63331934
canada,northwest territories,2023-04-10,2023-04-02,17,29,110,oilers,sports,Canada,62.40005292,-110.7333291
canada,saskatchewan,2023-04-10,2023-04-02,12,12,150,oilers game,sports,Canada,50.93331097,-102.7999891
canada,new brunswick,2023-04-10,2023-04-02,5,39,250,premier league,sports,Canada,45.26704185,-66.07667505
canada,new brunswick,2023-04-10,2023-04-02,8,25,250,psg,sports,Canada,45.26704185,-66.07667505
canada,nova scotia,2023-04-10,2023-04-02,8,21,250,psg,sports,Canada,45.58327578,-62.63331934
canada,ontario,2023-04-10,2023-04-02,8,13,250,psg,sports,Canada,44.56664532,-80.84998519
canada,saskatchewan,2023-04-10,2023-04-02,8,8,250,psg,sports,Canada,50.93331097,-102.7999891
canada,manitoba,2023-04-10,2023-04-02,22,2,40,raptors,sports,Canada,50.15002545,-96.88332178
canada,newfoundland and labrador,2023-04-10,2023-04-02,22,4,40,raptors,sports,Canada,49.17440025,-57.42691878
canada,alberta,2023-04-10,2023-04-02,6,65,250,real madrid,sports,Canada,53.01669802,-112.8166386
canada,manitoba,2023-04-10,2023-04-02,6,71,250,real madrid,sports,Canada,50.15002545,-96.88332178
